MatchId;Home midfield;Away midfield;Home Right Defence;Away Right Defence;Home Central Defence;Away Central Defence;Home Left Defence;Away Left Defence;Home Right Attack;Away Right Attack;Home Central Attack;Away Central Attack;Home Left Attack;Away Left Attack;Home Indirect Defence;Away Indirect Defence;Home Indirect Attack;Away Indirect Attack;Home Attitude;Away Attitude;Home Tactic;Away Tactic;Home Tactic Level;Away Tactic Level;Home Goals;Away Goals
631158664;5;8;6;36;6;47;4;33;5;11;5;18;5;10;8;23;9;20;(Hidden);(Hidden);Normal;Counter-attacks;(no tactic);14;0;10
631158665;10;14;30;19;38;28;27;18;14;15;21;19;12;17;23;29;18;27;(Hidden);(Hidden);Counter-attacks;Attack on wings;14;14;0;4
631158666;23;15;17;33;22;42;25;32;21;20;22;20;22;14;16;21;15;19;(Hidden);(Hidden);Normal;Counter-attacks;(no tactic);17;1;2
631158667;5;18;6;27;8;27;7;28;5;21;5;14;5;21;8;22;9;17;(Hidden);(Hidden);Normal;Attack on wings;(no tactic);19;0;9
631158668;4;4;10;6;10;6;12;4;3;4;5;5;5;5;11;8;8;9;(Hidden);(Hidden);Play creatively;Normal;13;(no tactic);2;1
631158669;5;4;7;9;7;10;7;11;5;4;5;6;5;5;8;11;9;9;(Hidden);(Hidden);Normal;Play creatively;(no tactic);13;1;1
631158670;21;10;19;31;21;39;20;28;33;15;25;22;30;13;21;24;19;20;(Hidden);(Hidden);Attack on wings;Counter-attacks;18;15;4;1
631158671;17;19;16;30;24;26;16;26;17;25;23;21;15;22;28;18;26;16;(Hidden);(Hidden);Attack on wings;Normal;13;(no tactic);1;3
631158672;5;10;6;17;6;37;5;19;5;18;5;26;6;16;8;21;9;20;(Hidden);(Hidden);Normal;Attack in the Middle;(no tactic);18;0;9
631158673;5;14;10;16;11;23;12;15;4;19;7;22;6;19;11;28;9;26;(Hidden);(Hidden);Play creatively;Attack on wings;13;14;0;11
631158674;12;5;30;6;39;6;28;6;16;6;25;6;14;5;24;8;20;9;(Hidden);(Hidden);Counter-attacks;Normal;15;(no tactic);7;1
